[2025-10-22T04:46:04.838Z] [INFO] === Starting Chiang Mai WebSocket Client ===
[2025-10-22T04:46:04.839Z] [INFO] [เชียงใหม่] Initializing database connection...
[2025-10-22T04:48:29.672Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14271.400000000001,"8685":0,"8686":null,"8687":6029.400000000001,"8688":null,"8689":null,"18069":1334901.2000000002,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:32.704Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14288.800000000001,"8685":0,"8686":null,"8687":6029.400000000001,"8688":null,"8689":null,"18069":1334901.2000000002,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:44.775Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14288.800000000001,"8685":0,"8686":null,"8687":6031.200000000001,"8688":null,"8689":null,"18069":1334901.2000000002,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:53.810Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14296,"8685":0,"8686":null,"8687":6046.400000000001,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:56.837Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14277.1,"8685":0,"8686":null,"8687":6046.400000000001,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:59.830Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14305,"8685":0,"8686":null,"8687":6065,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:49:02.860Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14305,"8685":0,"8686":null,"8687":6064.400000000001,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:49:05.854Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14274.2,"8685":0,"8686":null,"8687":6064.400000000001,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:49:11.891Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14274.2,"8685":0,"8686":null,"8687":6036.8,"8688":null,"8689":null,"18069":1334901.3,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:20.966Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14268.5,"8685":0,"8686":null,"8687":6048.700000000001,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:23.957Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14280,"8685":0,"8686":null,"8687":6048.700000000001,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:26.966Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14280,"8685":0,"8686":null,"8687":6069,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:29.991Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14281.400000000001,"8685":0,"8686":null,"8687":6070.900000000001,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:33.025Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14311.300000000001,"8685":0,"8686":null,"8687":6070.900000000001,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:39.078Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14311.300000000001,"8685":0,"8686":null,"8687":6069.200000000001,"8688":null,"8689":null,"18069":1334901.4000000001,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:48.169Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14343.800000000001,"8685":0,"8686":null,"8687":6069.200000000001,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:51.200Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.900000000001,"8685":0,"8686":null,"8687":6020.6,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:54.224Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.900000000001,"8685":0,"8686":null,"8687":6035.8,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
[2025-10-22T04:49:57.232Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14302.1,"8685":0,"8686":null,"8687":6012.200000000001,"8688":null,"8689":null,"18069":1334901.5,"18070":3498.3,"73909":null,"73910":559383.9,"75428":null,"75429":null}
